wavelenght,n,k
3.54e-10,1.0,2.96e-07
3.75e-10,1.0,3.73e-07
3.9699999999999997e-10,1.0,4.69e-07
4.2e-10,1.0,5.88e-07
4.45e-10,1.0,7.38e-07
4.71e-10,1.0,9.25e-07
4.98e-10,1.0,1.16e-06
5.28e-10,1.0,1.46e-06
5.579999999999999e-10,1.0,1.83e-06
5.91e-10,1.0,2.28e-06
6.25e-10,1.0,2.86e-06
6.62e-10,1.0,3.58e-06
7.01e-10,1.0,4.48e-06
7.42e-10,1.0,5.6e-06
7.860000000000001e-10,1.0,6.99e-06
8.31e-10,1.0,8.72e-06
8.8e-10,1.0,1.08e-05
9.310000000000001e-10,1.0,1.35e-05
9.86e-10,1.0,1.69e-05
1.0400000000000001e-09,1.0,2.11e-05
1.1000000000000001e-09,1.0,2.62e-05
1.17e-09,1.0,3.24e-05
1.24e-09,1.0,4.04e-05
1.31e-09,1.0,4.99e-05
1.39e-09,0.999,6.18e-05
1.47e-09,0.999,7.66e-05
1.55e-09,0.999,9.46e-05
1.65e-09,0.999,0.000117
1.74e-09,0.999,0.000145
1.84e-09,0.999,0.000176
1.95e-09,0.999,0.000218
2.07e-09,0.999,0.000267
2.19e-09,0.999,0.000328
2.31e-09,0.999,0.000403
2.45e-09,0.998,0.000489
2.59e-09,0.998,0.000598
2.74e-09,0.998,0.000731
2.91e-09,0.998,0.000887
3.08e-09,0.998,0.00108
3.26e-09,0.998,0.00133
3.45e-09,0.998,0.00162
3.65e-09,0.997,0.00197
3.86e-09,0.998,0.00239
4.0900000000000006e-09,0.998,0.0029
4.3300000000000006e-09,0.999,0.00352
4.58e-09,0.999,0.000169
4.8500000000000004e-09,0.997,0.000205
5.13e-09,0.997,0.000249
5.4300000000000005e-09,0.996,0.000303
5.75e-09,0.995,0.000369
6.09e-09,0.994,0.000448
6.44e-09,0.993,0.000543
6.82e-09,0.992,0.000655
7.22e-09,0.991,0.000791
7.640000000000001e-09,0.99,0.000953
8.09e-09,0.989,0.00115
