wavelenght,n,k
4.43e-08,0.8228,0.164
4.51e-08,0.825,0.173
4.59e-08,0.8255,0.183
4.68e-08,0.8258,0.195
4.77e-08,0.8263,0.208
4.86e-08,0.8281,0.223
4.9599999999999994e-08,0.8347,0.24
5.0599999999999996e-08,0.8428,0.25
5.17e-08,0.8483,0.259
5.2799999999999996e-08,0.8505,0.268
5.39e-08,0.8497,0.279
5.5100000000000004e-08,0.8489,0.297
5.6399999999999995e-08,0.8519,0.319
5.77e-08,0.8566,0.34
5.899999999999999e-08,0.8647,0.366
6.049999999999999e-08,0.8797,0.392
6.2e-08,0.897,0.416
6.36e-08,0.9173,0.44
6.53e-08,0.94,0.464
6.7e-08,0.9679,0.492
6.89e-08,1.0093,0.517
7.08e-08,1.0536,0.528
7.29e-08,1.0986,0.533
7.38e-08,1.1183,0.534
7.509999999999999e-08,1.1449,0.531
7.75e-08,1.1885,0.524
8e-08,1.2273,0.51
8.269999999999999e-08,1.2629,0.5
8.55e-08,1.3117,0.499
8.86e-08,1.3807,0.468
9.18e-08,1.4091,0.38
9.3e-08,1.4028,0.36
9.54e-08,1.3948,0.339
9.919999999999999e-08,1.3964,0.318
1.0329999999999999e-07,1.4047,0.291
1.078e-07,1.3981,0.251
1.0999999999999999e-07,1.3886,0.244
1.1269999999999998e-07,1.3806,0.239
1.14e-07,1.3772,0.239
1.1809999999999999e-07,1.3783,0.244
1.2099999999999998e-07,1.3929,0.247
1.24e-07,1.4061,0.224
1.272e-07,1.3999,0.195
1.295e-07,1.3777,0.174
1.305e-07,1.3607,0.172
1.3189999999999998e-07,1.3389,0.18
1.3329999999999998e-07,1.321,0.194
1.348e-07,1.303,0.213
1.362e-07,1.2871,0.243
1.37e-07,1.2849,0.271
1.378e-07,1.2851,0.289
1.387e-07,1.297,0.334
1.393e-07,1.3151,0.344
1.409e-07,1.3575,0.382
1.4249999999999999e-07,1.413,0.401
1.4349999999999998e-07,1.4525,0.4065
1.4419999999999998e-07,1.4845,0.405
1.45e-07,1.5157,0.389
1.459e-07,1.5484,0.377
1.4680000000000002e-07,1.5729,0.345
1.476e-07,1.5915,0.332
1.4799999999999998e-07,1.6021,0.315
1.4849999999999999e-07,1.6077,0.298
1.494e-07,1.6156,0.274
1.512e-07,1.622,0.228
1.5310000000000001e-07,1.6311,0.198
1.54e-07,1.6345,0.172
1.55e-07,1.6363,0.156
1.569e-07,1.6353,0.11
1.5799999999999999e-07,1.6309,0.083
1.589e-07,1.6214,0.058
