wavelenght,n,k
6.1992003e-11,1.000000017830001,0.0
6.5254739e-11,0.9999978440001,2.1729999e-08
6.887999899999999e-11,0.9999975969999,2.676e-08
7.2931769e-11,0.9999973050001,3.3319999e-08
7.7490004e-11,0.9999969569999,4.2020002e-08
8.265599899999999e-11,0.999996537,5.375e-08
8.856000199999999e-11,0.9999960230002,6.9850003e-08
9.5372307e-11,0.9999953860001,9.2500002e-08
1.0331999999999999e-10,0.9999945899999,1.251e-07
1.1271269999999999e-10,0.9999935599999,1.734e-07
1.2398401e-10,0.9999922200004,2.475e-07
1.3050950999999999e-10,0.9999913949996,2.9949999e-07
1.3776e-10,0.9999904300003,3.6579999e-07
1.408909e-10,0.9999900000003,3.975e-07
1.441674e-10,0.99998953,4.3259999e-07
1.476e-10,0.99998905,4.7169999e-07
1.5119999999999998e-10,0.99998853,5.1550001e-07
1.5498000999999998e-10,0.99998798,5.64e-07
1.5694179e-10,0.9999877,5.91e-07
1.589538e-10,0.9999874,6.1899999e-07
1.6101818999999998e-10,0.9999871,6.4900001e-07
1.6313689e-10,0.99998679,6.8050002e-07
1.6531199999999999e-10,0.99998647,7.1400001e-07
1.6754591e-10,0.99998616,7.5000003e-07
1.6984110999999999e-10,0.99998583,7.8800002e-07
1.71723e-10,0.99998565,9.0349999e-07
1.719612e-10,0.99998565,8.8849998e-07
1.722e-10,0.99998563,8.8399997e-07
1.7231970999999998e-10,0.99998562,8.8199999e-07
1.7243949999999997e-10,0.99998561,8.8299998e-07
1.7255950999999999e-10,0.99998559,9.0449998e-07
1.7267971e-10,0.99998559,9.2549999e-07
1.7280001e-10,0.9999856,9.5349998e-07
1.729205e-10,0.99998563,9.6799999e-07
1.730412e-10,0.99998567,9.5550001e-07
1.73162e-10,0.99998569,9.2300002e-07
1.7328299999999997e-10,0.99998569,8.705e-07
1.734042e-10,0.99998565,8.3100002e-07
1.7352559e-10,0.99998561,8.335e-07
1.736471e-10,0.99998558,8.8050001e-07
1.737688e-10,0.99998558,9.1150002e-07
1.738906e-10,0.9999856,9.5051001e-07
1.73915e-10,0.99998565,9.7099996e-07
1.7393941e-10,0.9999857,1.012e-06
1.7396379999999998e-10,0.99998575,1.06e-06
1.7398819999999998e-10,0.9999858,1.114e-06
1.7401259999999998e-10,0.99998585,1.175e-06
1.7403709e-10,0.9999859,1.223e-06
1.7406149999999998e-10,0.99998596,1.243e-06
1.7408589999999998e-10,0.99998602,1.196e-06
1.7411041e-10,0.99998608,1.122e-06
1.741348e-10,0.99998612,1.041e-06
1.741593e-10,0.99998614,9.5949997e-07
1.7418381e-10,0.99998617,8.7149999e-07
1.7420819e-10,0.99998619,7.8400001e-07
1.7423269999999998e-10,0.99998621,6.4850002e-07
1.7425721e-10,0.99998621,5.1299997e-07
1.742817e-10,0.99998619,3.776e-07
